"","place","n","thrshld","lead","thisTemp","thisTempPerY"
"1","山形",1265,"-4",739,526,11.1914893617021
"2","酒田",272,"-4",134,138,2.93617021276596
"3","飛島",133,"-4",46,87,1.85106382978723
"4","山形",739,"-5",407,332,7.06382978723404
"5","酒田",134,"-5",65,69,1.46808510638298
"6","飛島",46,"-5",10,36,0.765957446808511
"7","山形",407,"-6",202,205,4.36170212765957
"8","酒田",65,"-6",26,39,0.829787234042553
"9","飛島",10,"-6",6,4,0.0851063829787234
"10","山形",202,"-7",74,128,2.72340425531915
"11","酒田",26,"-7",12,14,0.297872340425532
"12","飛島",6,"-7",2,4,0.0851063829787234
"13","山形",74,"-8",0,74,1.57446808510638
"14","酒田",12,"-8",0,12,0.25531914893617
"15","飛島",2,"-8",0,2,0.0425531914893617
