”N,1ŒŽ,2ŒŽ,3ŒŽ,4ŒŽ,5ŒŽ,6ŒŽ,7ŒŽ,8ŒŽ,9ŒŽ,10ŒŽ,11ŒŽ,12ŒŽ,”NŠÔ
1951,,1,1,2,1,1,3,3,2,4,1,2,21
1952,,,,,,3,3,5,3,6,3,4,27
1953,,1,,,1,2,1,6,3,5,3,1,23
1954,,,1,,1,,1,5,5,4,3,1,21
1955,1,1,1,1,,2,7,6,4,3,1,1,28
1956,,,1,2,,1,2,5,6,1,4,1,23
1957,2,,,1,1,1,1,4,5,4,3,,22
1958,1,,,1,1,4,7,5,5,3,2,2,31
1959,,1,1,1,,,2,5,5,4,2,2,23
1960,,,,1,1,3,3,10,3,4,1,1,27
1961,1,,1,,2,3,4,6,6,4,1,1,29
1962,,1,,1,2,,5,8,4,5,3,1,30
1963,,,,1,,4,4,3,5,4,,3,24
1964,,,,,2,2,7,5,6,5,6,1,34
1965,2,1,1,1,2,3,5,6,7,2,2,,32
1966,,,,1,2,1,4,10,9,5,2,1,35
1967,,1,2,1,1,1,7,9,9,4,3,1,39
1968,,,,1,1,1,3,8,3,5,5,,27
1969,1,,1,1,,,3,4,3,3,2,1,19
1970,,1,,,,2,3,6,5,5,4,,26
1971,1,,1,3,4,2,8,5,6,4,2,,36
1972,1,,,,1,3,7,5,4,5,3,2,31
1973,,,,,,,7,5,2,4,3,,21
1974,1,,1,1,1,4,4,5,5,4,4,2,32
1975,1,,,,,,2,4,5,5,3,1,21
1976,1,1,,2,2,2,4,4,5,1,1,2,25
1977,,,1,,,1,3,3,5,5,1,2,21
1978,1,,,1,,3,4,8,5,4,4,,30
1979,1,,1,1,2,,4,2,6,3,2,2,24
1980,,,,1,4,1,4,2,6,4,1,1,24
1981,,,1,2,,3,4,8,4,2,3,2,29
1982,,,3,,1,3,3,5,5,3,1,1,25
1983,,,,,,1,3,5,2,5,5,2,23
1984,,,,,,2,5,5,4,7,3,1,27
1985,2,,,,1,3,1,8,5,4,1,2,27
1986,,1,,1,2,2,4,4,3,5,4,3,29
1987,1,,,1,,2,4,4,6,2,2,1,23
1988,1,,,,1,3,2,8,8,5,2,1,31
1989,1,,,1,2,2,7,5,6,4,3,1,32
1990,1,,,1,1,3,4,6,4,4,4,1,29
1991,,,2,1,1,1,4,5,6,3,6,,29
1992,1,1,,,,2,4,8,5,7,3,,31
1993,,,1,,,1,4,7,6,4,2,3,28
1994,,,,1,1,2,7,9,8,6,,2,36
1995,,,,1,,1,2,6,5,6,1,1,23
1996,,1,,1,2,,6,5,6,2,2,1,26
1997,,,,2,3,3,4,6,4,3,2,1,28
1998,,,,,,,1,3,5,2,3,2,16
1999,,,,2,,1,4,6,6,2,1,,22
2000,,,,,2,,5,6,5,2,2,1,23
2001,,,,,1,2,5,6,5,3,1,3,26
2002,1,1,,,1,3,5,6,4,2,2,1,26
2003,1,,,1,2,2,2,5,3,3,2,,21
2004,,,,1,2,5,2,8,3,3,3,2,29
2005,1,,1,1,1,,5,5,5,2,2,,23
2006,,,,,1,2,2,7,3,4,2,2,23
2007,,,,1,1,,3,4,5,6,4,,24
2008,,,,1,4,1,2,4,4,2,3,1,22
2009,,,,,2,2,2,5,7,3,1,,22
2010,,,1,,,,2,5,4,2,,,14
2011,,,,,2,3,4,3,7,1,,1,21
2012,,,1,,1,4,4,5,3,5,1,1,25
2013,1,1,,,,4,3,6,8,6,2,,31
2014,2,1,,2,,2,5,1,5,2,1,2,23
2015,1,1,2,1,2,2,3,4,5,4,1,1,27
2016,,,,,,,4,7,7,4,3,1,26
2017,,,,1,,1,8,6,3,3,3,2,27
2018,1,1,1,,,4,5,9,4,1,3,,29
2019,1,1,,,,1,4,5,6,4,6,1,29
2020,,,,,1,1,,8,3,6,3,1,23
2021,,1,,1,1,2,3,4,4,4,1,1,22
2022,,,,2,,2,2,5,7,5,1,1,25
2023,,,,1,1,1,3,6,2,2,,1,17
2024,,,,,2,,2,6,8,3,4,1,26
